"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"18	H	Mada.3529	Mada.2442	Heterixalus betsileo	0.212845138	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.1411	Mada.2442	Boophis  elenae	0.216451516	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.1633	Mada.2442	Boophis  elenae	0.009520837	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__rhizophila	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"186	S	Mada.3382	*	Mantidactylus  melanopleura	0.934659091	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	NA		1	3	1 . 3"
"186	H	Mada.3262	Mada.3382	Ptychadena mascareniensis	0.17487785	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	NA		1	3	1 . 3"
"186	H	Mada.2716	Mada.3382	Boophis  idea	0.830554193	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	NA		1	3	1 . 3"
"186	H	Mada.2739	Mada.3382	Blommersiablommersae	0	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	NA		1	3	1 . 3"
"44	H	Mada.3756	Mada.2350	Boophis  luteus	0.125985381	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.3816	Mada.2350	Mantella crocea	0.194044188	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.3176	Mada.2350	Gephryomantis silvanus	0.005159811	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.3659	Mada.2350	Mantidactylus  femoralis	0.20581172	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
